date_year,date_month,date_day,latitude,longitude,country_region,province_state,confirmed_diff,deaths_diff,recovered_diff
2021,5,28,50.331,4.8221,Belgium,Namur,67,0,0
2021,5,28,50.4496,5.8492,Belgium,Liege,242,0,0
2021,5,28,50.0547,5.4677,Belgium,Luxembourg,70,0,0
2021,5,28,,,Belgium,Unknown,51,8,0
2021,5,28,50.5257,4.0621,Belgium,Hainaut,437,0,0
2021,5,28,51.0362,3.7373,Belgium,East Flanders,237,0,0
2021,5,29,,,Belgium,Unknown,36,11,0
2021,5,29,50.8503,4.3517,Belgium,Brussels,205,0,0
2021,5,29,50.331,4.8221,Belgium,Namur,77,0,0
2021,5,29,50.4,4.35,Belgium,Walloon Brabant,105,0,0
2021,5,29,50.9739,5.3420000000000005,Belgium,Limburg,97,0,0
2021,5,29,50.4496,5.8492,Belgium,Liege,236,0,0
2021,5,29,50.0547,5.4677,Belgium,Luxembourg,43,0,0
2021,5,29,50.9167,4.5833,Belgium,Flemish Brabant,112,0,0
2021,5,29,50.5257,4.0621,Belgium,Hainaut,282,0,0
2021,5,29,51.0362,3.7373,Belgium,East Flanders,194,0,0
2021,5,29,51.2195,4.4024,Belgium,Antwerp,281,0,0
2021,5,29,51.0536,3.1458,Belgium,West Flanders,192,0,0
2021,5,30,50.331,4.8221,Belgium,Namur,44,0,0
2021,5,30,,,Belgium,Unknown,35,19,0
2021,5,30,51.2195,4.4024,Belgium,Antwerp,288,0,0
2021,5,30,51.0536,3.1458,Belgium,West Flanders,124,0,0
2021,5,30,50.9167,4.5833,Belgium,Flemish Brabant,113,0,0
2021,5,30,50.8503,4.3517,Belgium,Brussels,145,0,0
2021,5,30,50.4,4.35,Belgium,Walloon Brabant,84,0,0
2021,5,30,50.4496,5.8492,Belgium,Liege,143,0,0
2021,5,30,50.5257,4.0621,Belgium,Hainaut,226,0,0
2021,5,30,51.0362,3.7373,Belgium,East Flanders,150,0,0
2021,5,30,50.9739,5.3420000000000005,Belgium,Limburg,66,0,0
2021,5,30,50.0547,5.4677,Belgium,Luxembourg,19,0,0
2021,5,31,50.331,4.8221,Belgium,Namur,23,0,0
2021,5,31,51.2195,4.4024,Belgium,Antwerp,172,0,0
2021,5,31,50.4,4.35,Belgium,Walloon Brabant,37,0,0
2021,5,31,50.0547,5.4677,Belgium,Luxembourg,18,0,0
2021,5,31,50.9739,5.3420000000000005,Belgium,Limburg,58,0,0
2021,5,31,50.9167,4.5833,Belgium,Flemish Brabant,59,0,0
2021,5,31,51.0536,3.1458,Belgium,West Flanders,76,0,0
2021,5,31,51.0362,3.7373,Belgium,East Flanders,100,0,0
2021,5,31,50.8503,4.3517,Belgium,Brussels,99,0,0
2021,5,31,,,Belgium,Unknown,19,15,0
2021,5,31,50.4496,5.8492,Belgium,Liege,45,0,0
2021,5,31,50.5257,4.0621,Belgium,Hainaut,95,0,0
2021,6,1,50.331,4.8221,Belgium,Namur,89,0,0
2021,6,1,51.2195,4.4024,Belgium,Antwerp,199,0,0
2021,6,1,50.5257,4.0621,Belgium,Hainaut,225,0,0
2021,6,1,50.4,4.35,Belgium,Walloon Brabant,56,0,0
2021,6,1,,,Belgium,Unknown,32,13,0
2021,6,1,50.4496,5.8492,Belgium,Liege,182,0,0
2021,6,1,50.8503,4.3517,Belgium,Brussels,199,0,0
2021,6,1,50.9739,5.3420000000000005,Belgium,Limburg,112,0,0
2021,6,1,50.9167,4.5833,Belgium,Flemish Brabant,112,0,0
2021,6,1,51.0536,3.1458,Belgium,West Flanders,141,0,0
2021,6,1,50.0547,5.4677,Belgium,Luxembourg,53,0,0
2021,6,1,51.0362,3.7373,Belgium,East Flanders,98,0,0
2021,6,2,50.9739,5.3420000000000005,Belgium,Limburg,135,0,0
2021,6,2,50.4496,5.8492,Belgium,Liege,211,0,0
2021,6,2,50.9167,4.5833,Belgium,Flemish Brabant,139,0,0
2021,6,2,50.5257,4.0621,Belgium,Hainaut,252,0,0
2021,6,2,51.0362,3.7373,Belgium,East Flanders,202,0,0
2021,6,2,,,Belgium,Unknown,59,14,0
2021,6,2,50.4,4.35,Belgium,Walloon Brabant,76,0,0
2021,6,2,51.2195,4.4024,Belgium,Antwerp,302,0,0
2021,6,2,50.331,4.8221,Belgium,Namur,62,0,0
2021,6,2,51.0536,3.1458,Belgium,West Flanders,191,0,0
2021,6,2,50.8503,4.3517,Belgium,Brussels,206,0,0
2021,6,2,50.0547,5.4677,Belgium,Luxembourg,24,0,0
2021,6,3,50.4496,5.8492,Belgium,Liege,170,0,0
2021,6,3,51.0536,3.1458,Belgium,West Flanders,132,0,0
2021,6,3,50.331,4.8221,Belgium,Namur,68,0,0
2021,6,3,,,Belgium,Unknown,28,13,0
2021,6,3,51.0362,3.7373,Belgium,East Flanders,167,0,0
2021,6,3,50.9739,5.3420000000000005,Belgium,Limburg,120,0,0
2021,6,3,50.9167,4.5833,Belgium,Flemish Brabant,92,0,0
2021,6,3,50.0547,5.4677,Belgium,Luxembourg,26,0,0
2021,6,3,50.8503,4.3517,Belgium,Brussels,203,0,0
2021,6,3,51.2195,4.4024,Belgium,Antwerp,287,0,0
2021,6,3,50.5257,4.0621,Belgium,Hainaut,219,0,0
2021,6,3,50.4,4.35,Belgium,Walloon Brabant,87,0,0
2021,6,4,50.9167,4.5833,Belgium,Flemish Brabant,100,0,0
2021,6,4,51.2195,4.4024,Belgium,Antwerp,253,0,0
2021,6,4,50.9739,5.3420000000000005,Belgium,Limburg,91,0,0
2021,6,4,,,Belgium,Unknown,45,19,0
2021,6,4,50.331,4.8221,Belgium,Namur,34,0,0
2021,6,4,50.4496,5.8492,Belgium,Liege,130,0,0
2021,6,4,51.0362,3.7373,Belgium,East Flanders,161,0,0
2021,6,4,51.0536,3.1458,Belgium,West Flanders,120,0,0
2021,6,4,50.8503,4.3517,Belgium,Brussels,209,0,0
2021,6,4,50.4,4.35,Belgium,Walloon Brabant,69,0,0
2021,6,4,50.0547,5.4677,Belgium,Luxembourg,24,0,0
2021,6,4,50.5257,4.0621,Belgium,Hainaut,213,0,0
2021,6,5,51.0362,3.7373,Belgium,East Flanders,114,0,0
2021,6,5,50.0547,5.4677,Belgium,Luxembourg,32,0,0
2021,6,5,50.4,4.35,Belgium,Walloon Brabant,64,0,0
2021,6,5,51.0536,3.1458,Belgium,West Flanders,116,0,0
2021,6,5,50.8503,4.3517,Belgium,Brussels,218,0,0
2021,6,5,,,Belgium,Unknown,23,5,0
2021,6,5,50.4496,5.8492,Belgium,Liege,181,0,0
2021,6,5,50.9739,5.3420000000000005,Belgium,Limburg,91,0,0
2021,6,5,50.331,4.8221,Belgium,Namur,44,0,0
2021,6,5,50.9167,4.5833,Belgium,Flemish Brabant,105,0,0
2021,6,5,50.5257,4.0621,Belgium,Hainaut,223,0,0
2021,6,5,51.2195,4.4024,Belgium,Antwerp,257,0,0
2021,6,6,,,Belgium,Unknown,18,14,0
2021,6,6,50.9739,5.3420000000000005,Belgium,Limburg,61,0,0
2021,6,6,50.331,4.8221,Belgium,Namur,15,0,0
2021,6,6,50.5257,4.0621,Belgium,Hainaut,117,0,0
2021,6,6,51.0362,3.7373,Belgium,East Flanders,78,0,0
2021,6,6,51.2195,4.4024,Belgium,Antwerp,180,0,0
2021,6,6,50.4,4.35,Belgium,Walloon Brabant,64,0,0
2021,6,6,50.4496,5.8492,Belgium,Liege,85,0,0
2021,6,6,50.8503,4.3517,Belgium,Brussels,145,0,0
2021,6,6,51.0536,3.1458,Belgium,West Flanders,71,0,0
2021,6,6,50.0547,5.4677,Belgium,Luxembourg,12,0,0
2021,6,6,50.9167,4.5833,Belgium,Flemish Brabant,82,0,0
2021,6,7,50.331,4.8221,Belgium,Namur,10,0,0
2021,6,7,50.9167,4.5833,Belgium,Flemish Brabant,36,0,0
2021,6,7,50.4496,5.8492,Belgium,Liege,23,0,0
2021,6,7,50.9739,5.3420000000000005,Belgium,Limburg,31,0,0
2021,6,7,50.5257,4.0621,Belgium,Hainaut,62,0,0
2021,6,7,,,Belgium,Unknown,13,8,0
2021,6,7,51.0536,3.1458,Belgium,West Flanders,55,0,0
2021,6,7,51.2195,4.4024,Belgium,Antwerp,87,0,0
2021,6,7,51.0362,3.7373,Belgium,East Flanders,49,0,0
2021,6,7,50.0547,5.4677,Belgium,Luxembourg,7,0,0
2021,6,7,50.4,4.35,Belgium,Walloon Brabant,22,0,0
2021,6,7,50.8503,4.3517,Belgium,Brussels,74,0,0
2021,6,8,50.4,4.35,Belgium,Walloon Brabant,42,0,0
2021,6,8,,,Belgium,Unknown,24,10,0
2021,6,8,50.5257,4.0621,Belgium,Hainaut,105,0,0
2021,6,8,51.0362,3.7373,Belgium,East Flanders,95,0,0
2021,6,8,51.2195,4.4024,Belgium,Antwerp,156,0,0
2021,6,8,50.0547,5.4677,Belgium,Luxembourg,10,0,0
2021,6,8,50.4496,5.8492,Belgium,Liege,110,0,0
2021,6,8,50.9167,4.5833,Belgium,Flemish Brabant,76,0,0
2021,6,8,50.9739,5.3420000000000005,Belgium,Limburg,58,0,0
2021,6,8,50.331,4.8221,Belgium,Namur,31,0,0
2021,6,8,51.0536,3.1458,Belgium,West Flanders,65,0,0
2021,6,8,50.8503,4.3517,Belgium,Brussels,132,0,0
2021,6,9,50.331,4.8221,Belgium,Namur,43,0,0
2021,6,9,50.9167,4.5833,Belgium,Flemish Brabant,94,0,0
2021,6,9,50.4496,5.8492,Belgium,Liege,143,0,0
2021,6,9,50.4,4.35,Belgium,Walloon Brabant,68,0,0
2021,6,9,50.8503,4.3517,Belgium,Brussels,174,0,0
